Statistical profiling result from isolate-0x24ccd10-v8.log, (11708 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    288    2.5%    2.8%  double v8::internal::InternalStringToDouble<unsigned char const*, unsigned char const*>(v8::internal::UnicodeCache*, unsigned char const*, unsigned char const*, int, double)
    260    2.2%    2.5%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
    223    1.9%    2.1%  v8::internal::LookupIterator::Next()
    189    1.6%    1.8%  v8::internal::JsonParser<true>::ParseJsonArray()
    177    1.5%    1.7%  v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
    147    1.3%    1.4%  v8::internal::DiyFp::Multiply(v8::internal::DiyFp const&)
    125    1.1%    1.2%  v8::internal::IncrementalMarking::Step(long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceMarkingAction, v8::internal::IncrementalMarking::ForceCompletionAction)
    107    0.9%    1.0%  node::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
    106    0.9%    1.0%  v8::internal::Heap::AllocateJSObjectFromMap(v8::internal::Map*, v8::internal::PretenureFlag, bool, v8::internal::AllocationSite*)
    103    0.9%    1.0%  v8::internal::DoubleToCString(double, v8::internal::Vector<char>)
    102    0.9%    1.0%  v8::internal::Heap::AllocateHeapNumber(double, v8::internal::MutableMode, v8::internal::PretenureFlag)
     96    0.8%    0.9%  v8::internal::Factory::NewJSArrayStorage(v8::internal::Handle<v8::internal::JSArray>, int, int, v8::internal::ArrayStorageAllocationMode)
     92    0.8%    0.9%  v8::internal::PowersOfTenCache::GetCachedPowerForBinaryExponentRange(int, int, v8::internal::DiyFp*, int*)
     90    0.8%    0.9%  v8::internal::BasicJsonStringifier::StackPush(v8::internal::Handle<v8::internal::Object>)
     88    0.8%    0.8%  v8::internal::Context::native_context()
     84    0.7%    0.8%  v8::internal::PagedSpace::AllocateRawUnaligned(int)
     81    0.7%    0.8%  v8::internal::JsonParser<true>::ParseJsonValue()
     78    0.7%    0.7%  v8::internal::Isolate::get_initial_js_array_map(v8::internal::ElementsKind, v8::internal::Strength)
     78    0.7%    0.7%  v8::internal::BasicJsonStringifier::ApplyToJsonFunction(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
     75    0.6%    0.7%  __lll_unlock_wake
     74    0.6%    0.7%  v8::internal::Factory::NewJSObjectFromMap(v8::internal::Handle<v8::internal::Map>, v8::internal::PretenureFlag, bool, v8::internal::Handle<v8::internal::AllocationSite>)
     73    0.6%    0.7%  v8::internal::Heap::Allocate(v8::internal::Map*, v8::internal::AllocationSpace, v8::internal::AllocationSite*)
     70    0.6%    0.7%  v8::internal::List<v8::internal::Handle<v8::internal::Object>, v8::internal::ZoneAllocationPolicy>::Add(v8::internal::Handle<v8::internal::Object> const&, v8::internal::ZoneAllocationPolicy)
