Statistical profiling result from isolate-0x1fd2d10-v8.log, (17037 ticks, 3 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
      3    0.0%

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {11}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot
      1    0.0%    0.0%  Handler: $toPrimitive
      1    0.0%    0.0%  Handler: $toObject
      1    0.0%    0.0%  Function: ~<anonymous> /home/phillipdaw/code/gpxAQI/server/node_modules/ipaddr.js/lib/ipaddr.js:56:26
      1    0.0%    0.0%  Builtin: JSConstructStubGeneric
      1    0.0%    0.0%  Builtin: ArrayPush

 [C++]:
   ticks  total  nonlib   name
   1443    8.5%    9.3%  v8::internal::FastDtoa(double, v8::internal::FastDtoaMode, int, v8::internal::Vector<char>, int*, int*)
    670    3.9%    4.3%  v8::internal::BasicJsonStringifier::Result v8::internal::BasicJsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
    575    3.4%    3.7%  v8::internal::JsonParser<true>::ParseJsonNumber()
    543    3.2%    3.5%  v8::internal::Strtod(v8::internal::Vector<char const>, int)
    511    3.0%    3.3%  v8::internal::BasicJsonStringifier::SerializeDouble(double)
    493    2.9%    3.2%  double v8::internal::InternalStringToDouble<unsigned char const*, unsigned char const*>(v8::internal::UnicodeCache*, unsigned char const*, unsigned char const*, int, double)
    396    2.3%    2.5%  v8::internal::LookupIterator::Next()
    364    2.1%    2.3%  v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::FixedArray*, v8::internal::Map*)
    325    1.9%    2.1%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
    323    1.9%    2.1%  v8::internal::JsonParser<true>::ParseJsonArray()
    255    1.5%    1.6%  v8::internal::DiyFp::Multiply(v8::internal::DiyFp const&)
    225    1.3%    1.4%  v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
    202    1.2%    1.3%  v8::internal::DoubleToCString(double, v8::internal::Vector<char>)
    185    1.1%    1.2%  v8::internal::IncrementalMarking::Step(long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceMarkingAction, v8::internal::IncrementalMarking::ForceCompletionAction)
    173    1.0%    1.1%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::EvacuateObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
    161    0.9%    1.0%  v8::internal::JsonParser<true>::ParseJsonValue()
    150    0.9%    1.0%  bool v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::SemiSpaceCopyObject<(v8::internal::AllocationAlignment)1>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
    146    0.9%    0.9%  v8::internal::BasicJsonStringifier::StackPush(v8::internal::Handle<v8::internal::Object>)
    122    0.7%    0.8%  v8::internal::BasicJsonStringifier::ApplyToJsonFunction(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
    121    0.7%    0.8%  v8::internal::Factory::NewJSObjectFromMap(v8::internal::Handle<v8::internal::Map>, v8::internal::PretenureFlag, bool, v8::internal::Handle<v8::internal::AllocationSite>)
    119    0.7%    0.8%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::EvacuateObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)0, (v8::internal::AllocationAlignment)1>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
    116    0.7%    0.7%  v8::internal::PagedSpace::AllocateRawUnaligned(int)
    115    0.7%    0.7%  v8::internal::PowersOfTenCache::GetCachedPowerForBinaryExponentRange(int, int, v8::internal::DiyFp*, int*)
    111    0.7%    0.7%  v8::internal::Factory::NewJSArray(v8::internal::ElementsKind, v8::internal::Strength, v8::internal::PretenureFlag)
    111    0.7%    0.7%  v8::internal::Context::native_context()
    109    0.6%    0.7%  v8::internal::Factory::NewHeapNumber(double, v8::internal::MutableMode, v8::internal::PretenureFlag)
