Statistical profiling result from isolate-0x2baed10-v8.log, (589 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.2%    0.3%  v8::internal::AllocationSiteCreationContext::ExitScope(v8::internal::Handle<v8::internal::AllocationSite>, v8::internal::Handle<v8::internal::JSObject>)
      1    0.2%    0.3%  v8::internal::Accessors::FunctionPrototypeSetter(v8::Local<v8::Name>, v8::Local<v8::Value>, v8::PropertyCallbackInfo<void> const&)
      1    0.2%    0.3%  v8::internal::Accessors::FunctionPrototypeGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      1    0.2%    0.3%  v8::internal::Accessors::FunctionLengthGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
      1    0.2%    0.3%  v8::internal::Accessors::ArrayLengthSetter(v8::Local<v8::Name>, v8::Local<v8::Value>, v8::PropertyCallbackInfo<void> const&)
      1    0.2%    0.3%  v8::base::Thread::GetThreadLocal(int)
      1    0.2%    0.3%  v8::Script::Compile(v8::Local<v8::Context>, v8::Local<v8::String>, v8::ScriptOrigin*)
      1    0.2%    0.3%  std::locale::locale()
      1    0.2%    0.3%  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::swap(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
      1    0.2%    0.3%  operator new(unsigned long)
      1    0.2%    0.3%  operator delete(void*)
      1    0.2%    0.3%  node::ContextifyScript::RunInThisContext(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.2%    0.3%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int, int, int*)
      1    0.2%    0.3%  fflush
      1    0.2%    0.3%  _fini
      1    0.2%    0.3%  __dynamic_cast

 [GC]:
   ticks  total  nonlib   name
     15    2.5%

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 2.0% are not shown.

   ticks parent  name
    215   36.5%  /usr/bin/nodejs
    208   96.7%    /usr/bin/nodejs
     79   38.0%      LazyCompile: readPackage module.js:68:21
     57   72.2%        LazyCompile: ~tryPackage module.js:90:20
     57  100.0%          LazyCompile: ~Module._findPath module.js:128:28
     57  100.0%            LazyCompile: ~Module._resolveFilename module.js:312:35
     22   27.8%        LazyCompile: *tryPackage module.js:90:20
     22  100.0%          LazyCompile: ~Module._findPath module.js:128:28
     22  100.0%            LazyCompile: ~Module._resolveFilename module.js:312:35
     76   36.5%      LazyCompile: ~fs.readSync fs.js:585:23
     76  100.0%        LazyCompile: fs.readFileSync fs.js:384:27
     62   81.6%          LazyCompile: ~Module._extensions..js module.js:415:37
     62  100.0%            LazyCompile: ~Module.load module.js:335:33
     13   17.1%          LazyCompile: *Module._extensions..js module.js:415:37
     13  100.0%            LazyCompile: ~Module.load module.js:335:33
     23   11.1%      LazyCompile: ~Module._findPath module.js:128:28
     23  100.0%        LazyCompile: ~Module._resolveFilename module.js:312:35
     23  100.0%          LazyCompile: Module._load module.js:272:24
     13   56.5%            LazyCompile: *require internal/module.js:11:19
      7   30.4%            LazyCompile: ~Module.require module.js:351:36
      3   13.0%            LazyCompile: *Module.require module.js:351:36
     10    4.8%      LazyCompile: ~tryFile module.js:106:17
      7   70.0%        LazyCompile: ~tryExtensions module.js:116:23
      7  100.0%          LazyCompile: ~Module._findPath module.js:128:28
      7  100.0%            LazyCompile: ~Module._resolveFilename module.js:312:35
